"Exhibit P-5a, Procurement History and Planning: PB 2022 Army",,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: P-1 Line Item Number / Title:,,,Item Number / Title [DODIC]:
2032A / 02 / 20 1338C70000 / Hellfire Sys Summary,,,C70100 / LASER HELLFIRE MSL
"",,,(BASIC/IHW/HFII)
O Method/Type,,Date,Specs Date
C or,Award,of First,Qty Unit Cost Avail Revision RFP Issue
Cost Elements O FY Contractor and Location Funding Vehicle Location of PCO,Date,Delivery,(Each) ($ K) Now? Available Date
"All-up Rounds(†) 2017 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Sep 2017,Oct 2019,"4,362 74.160 Y Dec 2013"
"All-up Rounds(†) ? 2017 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Sep 2017,Oct 2019,"1,323 74.160 Y Dec 2013"
"All-up Rounds(†) 2018 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Sep 2018,Oct 2020,"5,233 69.764 Y Dec 2016"
"All-up Rounds(†) ? 2019 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Apr 2019,Oct 2021,"2,034 78.228 Y Dec 2016"
"All-up Rounds(†) 2020 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Mar 2021,Oct 2022,"5,112 71.444 Y Dec 2016"
"All-up Rounds(†) 2021 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",May 2021,Oct 2023,"3,518 76.461 Y Dec 2016"
"All-up Rounds(†) 2022 Lockheed Missile andFire Ctrl / Orlando SS / FPIF Redstone Arsenal, AL",Jun 2022,Oct 2024,900 88.743 Y Dec 2020
