"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 0648CC0007 / Javelin (AAWS-M) System Summary,,,,,,,,,,,Item Number / Title [DODIC]: H06103 / Javelin Lightweight Command Launch Unit (CLU),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,-,,,,-,,,,5,,,86,,,-,,,86,,
Gross/Weapon System Cost ($ in Millions),,,,,,-,,,,-,,,,15.970,,,44.194,,,-,,,44.194,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,-,,,,-,,,,15.970,,,44.194,,,-,,,44.194,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,-,,,,-,,,,15.970,,,44.194,,,-,,,44.194,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,-,,,,-,,,,"3,194.000",,,513.884,,,-,,,513.884,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Light Weight CLU Production(†),-,-,-,-,-,,-,,442.600,,5,2.213,,350.698,86,30.160,,-,-,,-,350.698,,86,30.160
Engineering Services,-,-,-,-,-,,-,,-,,-,1.377,,-,-,1.713,,-,-,,-,-,,-,1.713
Acceptance Testing,-,-,-,-,-,,-,,-,,-,0.400,,-,-,0.529,,-,-,,-,-,,-,0.529
Production Engineering,-,-,-,-,-,,-,,-,,-,0.875,,-,-,1.088,,-,-,,-,-,,-,1.088
Fielding,-,-,-,-,-,,-,,-,,-,0.173,,-,-,1.059,,-,-,,-,-,,-,1.059
Subtotal: Recurring Cost,-,-,-,-,-,,-,,-,,-,5.038,,-,-,34.549,,-,-,,-,-,,-,34.549
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Production Facilitization,-,-,-,-,-,,-,,-,,-,10.932,,-,-,8.369,,-,-,,-,-,,-,8.369
Subtotal: Non Recurring Cost,-,-,-,-,-,,-,,-,,-,10.932,,-,-,8.369,,-,-,,-,-,,-,8.369
Subtotal: Flyaway Cost,-,-,-,-,-,,-,,-,,-,15.970,,-,-,42.918,,-,-,,-,-,,-,42.918
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,-,-,-,,-,,-,,-,-,,-,-,1.276,,-,-,,-,-,,-,1.276
Subtotal: Support - Program Management Cost,-,-,-,-,-,,-,,-,,-,-,,-,-,1.276,,-,-,,-,-,,-,1.276
Gross/Weapon System Cost,-,-,-,-,-,,-,,"3,194.000",,5,15.970,,513.884,86,44.194,,-,-,,-,513.884,,86,44.194
,,,,,,,,,,,,,,,,,,,,,,,,,
