"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,Modification Number / Title: C50700 / Patriot Mods
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 16 of 23: IFF Antenna Redesign,,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Raytheon,,,"Manufacturer Location: Andover, MA",,,
Administrative Leadtime (in Months): 4,,,Production Leadtime (in Months):,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Jan 2020,,Jan 2021,,,
Delivery Dates,Feb 2021,,Feb 2022,,,
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): PM Fielding Team (Included in Fielding cost),,,,,Installation Quantity: 0,
,,,,,,
