"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Recurring,,,,,,,,,
Kit Quantity,346 / 499.205,,19 / 73.191,10 / 40.717,,- / -,,- / -,- / -
Subtotal: Recurring,346 / 499.205,,19 / 73.191,10 / 40.717,,- / -,,- / -,- / -
Subtotal: Enhanced Launcher Electronics System (ELES),346 / 499.205,,19 / 73.191,10 / 40.717,,- / -,,- / -,- / -
Modification Item 13 of 23: Digital Sidelobe Canceller (DSLC),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,71 / 152.954,,10 / 27.428,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,71 / 152.954,,10 / 27.428,- / -,,- / -,,- / -,- / -
Subtotal: Digital Sidelobe Canceller (DSLC),71 / 152.954,,10 / 27.428,- / -,,- / -,,- / -,- / -
Modification Item 14 of 23: Command Obsolescence Alleviation,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Command Obsolescnece Alleviation,- / 7.000,,- / 1.989,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,- / 7.000,,- / 1.989,- / -,,- / -,,- / -,- / -
Subtotal: Command Obsolescence Alleviation,- / 7.000,,- / 1.989,- / -,,- / -,,- / -,- / -
Modification Item 15 of 23: MAP/RDP Encryption Compliance,,,,,,,,,
A Kits,,,,,,,,,
Non-Recurring,,,,,,,,,
Certification,- / -,,- / 11.999,- / 11.996,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / -,,- / 11.999,- / 11.996,,- / -,,- / -,- / -
Subtotal: MAP/RDP Encryption Compliance,- / -,,- / 11.999,- / 11.996,,- / -,,- / -,- / -
Modification Item 16 of 23: IFF Antenna Redesign,,,,,,,,,
A Kits,,,,,,,,,
Non-Recurring,,,,,,,,,
Kits,- / -,,18 / 8.000,9 / 4.000,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / -,,18 / 8.000,9 / 4.000,,- / -,,- / -,- / -
Subtotal: IFF Antenna Redesign,- / -,,18 / 8.000,9 / 4.000,,- / -,,- / -,- / -
,,,,,,,,,
