"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Subtotal: Recurring,- / 64.392,,- / -,- / -,,- / -,,- / -,- / -
Non-Recurring,,,,,,,,,
Kit Quantity,82 / 55.842,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,82 / 55.842,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Modern Manstation (MMS),82 / 120.234,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 21 of 23: Reconfigurable Table Top Trainers (RT3),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,489 / 31.338,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,489 / 31.338,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Reconfigurable Table Top Trainers (RT3),489 / 31.338,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 22 of 23: Assured PNT,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Hardware Integration,798 / 3.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,798 / 3.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Assured PNT,798 / 3.000,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 23 of 23: Test Detachment,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Equipment,1 / 56.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,1 / 56.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Test Detachment,1 / 56.000,,- / -,- / -,,- / -,,- / -,- / -
"Subtotal: Procurement, All Modification Items","8,978 / 2,910.585",,199 / 277.516,178 / 276.850,,124 / 204.169,,- / -,124 / 204.169
Installation,,,,,,,,,
Modification Item 1 of 23: RAM Mods,"6,784 / 151.613",,137 / -,149 / -,,135 / -,,- / -,135 / -
Modification Item 2 of 23: Recapitalization,16 / 229.030,,1 / 1.200,1 / 1.200,,1 / 1.300,,- / -,1 / 1.300
Modification Item 5 of 23: BCP/TCS/CSM,"79 / 1,192.582",,- / -,- / -,,- / -,,- / -,- / -
Modification Item 17 of 23: Combined Crypto Modification Phase I (CCMPI),150 / 2.032,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Installation,"7,029 / 1,575.257",,138 / 1.200,150 / 1.200,,136 / 1.300,,- / -,136 / 1.300
,,,,,,,,,
