"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,,,,,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,,,,,,Modification Number / Title: C50700 / Patriot Mods,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,
Modification Item 1 of 23: RAM Mods,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Information,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Name: Raytheon,,,,,,,,,,,,"Manufacturer Location: Andover, MA",,,,,,,,,,,
Administrative Leadtime (in Months): 2,,,,,,,,,,,,Production Leadtime (in Months): 14,,,,,,,,,,,
Dates,,,,,FY 2020,,,,,,,FY 2021,,,,,,,FY 2022,,,,
Contract Dates,,,,,Dec 2019,,,,,,,Dec 2020,,,,,,,Dec 2021,,,,
Delivery Dates,,,,,Feb 2021,,,,,,,Feb 2022,,,,,,,Feb 2023,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Installation Information,,,,,,,,,,,,,,,,,,,,,,,
Method of Implementation: Lead Logistics Fielding Team (Included in unit cost),,,,,,,,,,,,,,,,,,,,,,,
Installation Cost,,,Prior Years,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,FY 2022 OCO,,,,FY 2022 Total,
,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),
Prior Years,,,"6,784 / 151.613",,,,65 / 0.000,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2020,,,- / -,,,,72 / 0.000,,,,72 / 0.000,,,,- / -,,,- / -,,,,- / -,
FY 2021,,,- / -,,,,- / -,,,,77 / 0.000,,,,76 / 0.000,,,- / -,,,,76 / 0.000,
FY 2022,,,- / -,,,,- / -,,,,- / -,,,,59 / 0.000,,,- / -,,,,59 / 0.000,
Total,,,"6,784 / 151.613",,,,137 / 0.000,,,,149 / 0.000,,,,135 / 0.000,,,- / -,,,,135 / 0.000,
Installation Schedule,,,,,,,,,,,,,,,,,,,,,,,
,PYS,FY 2020,,,,,,,,FY 2021,,,,,,,FY 2022,,,,,,
,,Q1,,Q2,,Q3,,Q4,,Q1,,Q2,,Q3,,Q4,Q1,,,Q2,Q3,,Q4
In,"6,923",32,,32,,32,,31,,31,,41,,41,,40,40,,,37,36,,36
Out,"6,853",33,,32,,32,,32,,31,,31,,41,,41,40,,,40,37,,36
,,,,,,,,,,,,,,,,,,,,,,,
