"Exhibit P-5a, Procurement History and Planning: PB 2022 Army",,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 05 / 10,,,,P-1 Line Item Number / Title: 1242C93000 / Air Defense Targets,,,,,,Item Number / Title [DODIC]: C93000 / Air Defense Targets,,,,
Cost Elements,O C O,FY,Contractor and Location,,Method/Type or Funding Vehicle,Location of PCO,Award Date,Date of First Delivery,Qty (Each),,Unit Cost ($ K),Specs Avail Now?,Date Revision Available,RFP Issue Date
Remotely Piloted Vehicle Target (RPVT),,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,394,,6.962,Y,,
Remotely Piloted Vehicle Target (RPVT),,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO-STRI,Dec 2020,Apr 2021,538,,7.185,Y,,
Remotely Piloted Vehicle Target (RPVT),,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Jan 2022,666,,6.683,Y,,
Infrared Kit Payload,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,394,,0.332,Y,,
Infrared Kit Payload,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO-STRI,Dec 2020,Apr 2021,538,,0.341,Y,,
Infrared Kit Payload,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Jan 2022,666,,0.335,Y,,
Launcher,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,5,,31.000,Y,,
Launcher,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO-STRI,Dec 2020,Jun 2021,1,,32.000,Y,,
Launcher,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Jan 2022,5,,33.200,Y,,
Manual Navigation GCS,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,14,,12.214,Y,,
Manual Navigation GCS,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,Jun 2021,5,,12.600,Y,,
Manual Navigation GCS,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Jan 2022,5,,12.000,Y,,
BVR Navigation GCS,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,4,,31.750,Y,,
BVR Navigation GCS,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,Jul 2021,10,,32.700,Y,,
BVR Navigation GCS,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Feb 2022,10,,33.500,Y,,
BVR Payload,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,20,,14.100,Y,,
BVR Payload,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,Jul 2021,27,,14.519,Y,,
BVR Payload,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,May 2022,65,,15.800,Y,,
Acoustic Scoring Payload,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,28,,13.786,Y,,
Acoustic Scoring Payload,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PE STRI,Dec 2020,Jul 2021,50,,14.200,Y,,
Acoustic Scoring Payload,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,May 2022,55,,15.000,Y,,
Acoustic Scoring GCS,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,9,,49.222,Y,,
Acoustic Scoring GCS,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,Jul 2021,2,,51.000,Y,,
Acoustic Scoring GCS,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,May 2022,2,,50.000,Y,,
Radar Scoring Payload,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Dec 2021,20,,19.300,Y,,
Radar Scoring Payload,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2021,Dec 2021,40,,20.000,Y,,
Radar Scoring Payload,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Nov 2022,55,,22.400,Y,,
Radar Scoring GCS,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,1,,18.000,Y,,
Radar Scoring GCS,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,Dec 2021,2,,18.500,Y,,
Radar Scoring GCS,,2022,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,ACC-ORL,Nov 2021,Nov 2022,2,,18.000,Y,,
RPVT Lighting Kit Payload,,2020,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,AMCOM,Mar 2020,Jun 2020,31,,0.323,Y,,
RPVT Lighting Kit Payload,,2021,"Griffon Aerospace Inc. / Madison, AL",,C / FFP,PEO STRI,Dec 2020,May 2021,45,,0.333,Y,,
,,,,,,,,,,,,,,
