"Exhibit P-40, Budget Line Item Justification: PB 2022 Army",,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
"Appropriation / Budget Activity / Budget Sub Activity: 2032A: Missile Procurement, Army / BA 05: Support Equipment and Facilities / BSA 10: Support Equipment & Facilities",,,,,,,,,P-1 Line Item Number / Title: 1242C93000 / Air Defense Targets,,,,,,,,,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready):",,,,Program Elements for Code B Items: N/A,,,,,,,,,,Other Related Program Elements: N/A,,,,,,,,,
Line Item MDAP/MAIS Code: N/A,,,,,,,,,,,,,,,,,,,,,,,
Resource Summary,,Prior Years,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,,,FY 2022 Total,,FY 2023,FY 2024,,FY 2025,,,FY 2026,,To Complete,,Total
Procurement Quantity (Units in Each),,788,500,538,,666,,-,,,666,,-,-,,-,,,-,,-,,-
Gross/Weapon System Cost ($ in Millions),,447.499,10.593,8.978,,10.618,,-,,,10.618,,-,-,,-,,,-,,-,,-
Less PY Advance Procurement ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Net Procurement (P-1) ($ in Millions),,447.499,10.593,8.978,,10.618,,-,,,10.618,,-,-,,-,,,-,,-,,-
Plus CY Advance Procurement ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Total Obligation Authority ($ in Millions),,447.499,10.593,8.978,,10.618,,-,,,10.618,,-,-,,-,,,-,,-,,-
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Flyaway Unit Cost ($ in Thousands),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Gross/Weapon System Unit Cost ($ in Thousands),,567.892,21.186,16.688,,15.943,,-,,,15.943,,-,-,,-,,,-,,-,,-
"Description: Air Defense Artillery (ADA) Targets program procures target hardware and associated training services to include scoring, payload, and ground support equipment to enable Air Defense Artillery Soldiers and units to conduct required training. This training consists of Department of the Army Pamphlet (DA PAM) 350-38 (Standards in Training Commission) required gunnery tables and aerial target tracking, training, and scoring. Target systems are also available to support collective training exercises and Force Development Testing and Experimentation (FDT&E) investigations of engagement techniques for small unmanned aircraft systems.",,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,FY 2020,,FY 2021,,FY 2022 Base,,,FY 2022 OCO,,FY 2022 Total,,,FY 2023,,,FY 2024,,FY 2025,,FY 2026,
Army,Quantity,,500,,538,,666,,,-,,666,,,-,,,-,,-,,-,
,Total Obligation Authority,,10.593,,8.978,,10.618,,,-,,10.618,,,-,,,-,,-,,-,
Total: Secondary Distribution,Quantity,,500,,538,,666,,,-,,666,,,-,,,-,,-,,-,
,Total Obligation Authority,,10.593,,8.978,,10.618,,,-,,10.618,,,-,,,-,,-,,-,
,,,,,,,,,,,,,,,,,,,,,,,
