"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 05 / 10,,,,,,,,P-1 Line Item Number / Title: 1242C93000 / Air Defense Targets,,,,,,,,,,,,Item Number / Title [DODIC]: C93000 / Air Defense Targets,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Smoke Generator Payload(†),0.339,53,,0.018,-,-,-,,,0.500,30,0.015,,,0.500,30,,0.015,-,-,,-,0.500,,30,0.015
Over the Horizon BVR Payload(†),23.000,14,,0.322,-,-,-,,,20.000,15,0.300,,,22.000,15,,0.330,-,-,,-,22.000,,15,0.330
Subtotal: Recurring Cost,-,-,,447.499,-,-,6.667,,,-,-,8.974,,,-,-,,10.618,-,-,,-,-,,-,10.618
Subtotal: Flyaway Cost,-,-,,447.499,-,-,6.667,,,-,-,8.974,,,-,-,,10.618,-,-,,-,-,,-,10.618
Software Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Refresh - Windows OS Update,-,-,,-,"3,926.000",1,3.926,,,4.000,1,0.004,,,-,-,,-,-,-,,-,-,,-,-
Subtotal: Recurring Cost,-,-,,-,-,-,3.926,,,-,-,0.004,,,-,-,,-,-,-,,-,-,,-,-
Subtotal: Software Cost,-,-,,-,-,-,3.926,,,-,-,0.004,,,-,-,,-,-,-,,-,-,,-,-
Gross/Weapon System Cost,567.892,788,,447.499,21.186,500,10.593,,,16.688,538,8.978,,,15.943,666,,10.618,-,-,,-,15.943,,666,10.618
"Remarks: FY 2020 increase in unit cost for Windows Operating System upgrade, which is necessary to maintain the system's authority to operate.",,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,500,,,,538,,,,666,,,,-,,,666,,
,,,Total Obligation Authority,,,,,,10.593,,,,8.978,,,,10.618,,,,-,,,10.618,,
Total: Secondary Distribution,,,Quantity,,,,,,500,,,,538,,,,666,,,,-,,,666,,
,,,Total Obligation Authority,,,,,,10.593,,,,8.978,,,,10.618,,,,-,,,10.618,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
