"Exhibit P-40, Budget Line Item Justification: PB 2022 Army",,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
"Appropriation / Budget Activity / Budget Sub Activity: 2032A: Missile Procurement, Army / BA 04: Spares and Repair Parts / BSA 10: Spares And Repair Parts",,,,,,,,,P-1 Line Item Number / Title: 1242CA0250 / Spares And Repair Parts,,,,,,,,,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready):",,,,Program Elements for Code B Items: N/A,,,,,,,,,,Other Related Program Elements: N/A,,,,,,,,,
Line Item MDAP/MAIS Code: N/A,,,,,,,,,,,,,,,,,,,,,,,
Resource Summary,,Prior Years,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,,,FY 2022 Total,,FY 2023,FY 2024,,FY 2025,,,FY 2026,,To Complete,,Total
Procurement Quantity (Units in Each),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Gross/Weapon System Cost ($ in Millions),,357.519,26.444,5.090,,5.019,,-,,,5.019,,-,-,,-,,,-,,-,,-
Less PY Advance Procurement ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Net Procurement (P-1) ($ in Millions),,357.519,26.444,5.090,,5.019,,-,,,5.019,,-,-,,-,,,-,,-,,-
Plus CY Advance Procurement ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Total Obligation Authority ($ in Millions),,357.519,26.444,5.090,,5.019,,-,,,5.019,,-,-,,-,,,-,,-,,-
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Flyaway Unit Cost ($ in Thousands),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Gross/Weapon System Unit Cost ($ in Thousands),,-,-,-,,-,,-,,,-,,-,-,,-,,,-,,-,,-
Description: FY 2022 funds provide for the procurement of spares to support initial fielding of new or modified end items. The FY 2022 funding request was reduced by $1.07 million to account for the availability of prior year execution balances.,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,FY 2020,,FY 2021,,FY 2022 Base,,,FY 2022 OCO,,FY 2022 Total,,,FY 2023,,,FY 2024,,FY 2025,,FY 2026,
Army,Quantity,,-,,-,,-,,,-,,-,,,-,,,-,,-,,-,
,Total Obligation Authority,,26.444,,5.090,,5.019,,,-,,5.019,,,-,,,-,,-,,-,
Total: Secondary Distribution,Quantity,,-,,-,,-,,,-,,-,,,-,,,-,,-,,-,
,Total Obligation Authority,,26.444,,5.090,,5.019,,,-,,5.019,,,-,,,-,,-,,-,
,,,,,,,,,,,,,,,,,,,,,,,
