"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 04 / 10,,,,,,,,,P-1 Line Item Number / Title: 1242CA0250 / Spares And Repair Parts,,,,,,,,,,,,,,Item Number / Title [DODIC]: CA0267 / PATRIOT MODIFICATION INITIAL SPARES,,,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,,,,
Resource Summary,,,,,,,Prior Years,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Cost ($ in Millions),,,,,,,357.519,,,,,26.444,,,,,5.090,,,,5.019,,,,-,,,,5.019,,
Less PY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,,357.519,,,,,26.444,,,,,5.090,,,,5.019,,,,-,,,,5.019,,
Plus CY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Total Obligation Authority ($ in Millions),,,,,,,357.519,,,,,26.444,,,,,5.090,,,,5.019,,,,-,,,,5.019,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,,FY 2021,,,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,,FY 2022 Total,,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,,Total Cost ($ M),Unit Cost ($ K),,,Qty (Each),Total Cost ($ M)
Hardware Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0267 / PATRIOT MODIFICATION INITIAL SPARES,-,-,,357.519,-,-,,26.444,,,-,,-,5.090,,,-,-,,5.019,,-,-,,,-,-,,,-,5.019
Subtotal: Non Recurring Cost,-,-,,357.519,-,-,,26.444,,,-,,-,5.090,,,-,-,,5.019,,-,-,,,-,-,,,-,5.019
Subtotal: Hardware Cost,-,-,,357.519,-,-,,26.444,,,-,,-,5.090,,,-,-,,5.019,,-,-,,,-,-,,,-,5.019
Gross/Weapon System Cost,-,-,,357.519,-,-,,26.444,,,-,,-,5.090,,,-,-,,5.019,,-,-,,,-,-,,,-,5.019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,FY 2022 Total,,,
Army,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,26.444,,,,,5.090,,,,5.019,,,,,-,,,,5.019,,,
Total: Secondary Distribution,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,26.444,,,,,5.090,,,,5.019,,,,,-,,,,5.019,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
