"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,,,,,,P-1 Line Item Number / Title: 1338C70000 / Hellfire Sys Summary,,,,,,,,,,,,Item Number / Title [DODIC]: C70100 / LASER HELLFIRE MSL (BASIC/IHW/HFII),,,,,,,
Cost Elements (Units in Thousands),,,,,,,Fiscal Year 2023,,,,,,,,,,,,,Fiscal Year 2024,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2022,BAL DUE AS OF 1 OCT,,,,Calendar Year 2023,,,,,,,,,,,,,Calendar Year 2024,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
All-up Rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 63561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,AF (‡),1.131,1.131,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2017,ARMY,4.362,4.362,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2017,FMS (‡),.965,.965,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2017,Total,6.458,6.458,.000,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.000
✓,1,2017,ARMY,1.323,1.323,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2018,AF (‡),5.158,5.158,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2018,ARMY,5.233,5.233,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2018,FMS (‡),.071,.071,.000,,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2018,Total,10.462,10.462,.000,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.000
✓,1,2019,ARMY,2.034,2.034,.000,.322 .322 .322 .322 .322 .322 .322 .321 .321 .321 .321 .321 .426 .426 .426 .426 .426 .426 .426 .426 .426 .426 .426 .426 .057 .057 .057 .057 .057 .057 .057 .057 .057 .056 .056 .056,,,,,,,,,,,,,,,,,,,,,,,,,.000
,1,2020,AF (‡),3.859,.000,3.859,.322,.322,.322,.322,.322,.322,,.322,.321,.321,.321,.321,.321,,,,,,,,,,,,,.000
,1,2020,ARMY,5.112,.000,5.112,.426,.426,.426,.426,.426,.426,,.426,.426,.426,.426,.426,.426,,,,,,,,,,,,,.000
,1,2020,FMS (‡),.681,.000,.681,.057,.057,.057,.057,.057,.057,,.057,.057,.057,.056,.056,.056,,,,,,,,,,,,,.000
,1,2020,Total,9.652,.000,9.652,.805,.805,.805,.805,.805,.805,,.805,.804,.804,.803,.803,.803,-,-,-,-,-,-,-,-,-,-,-,-,.000
,1,2021,AF (‡),2.687,.000,2.687,-,-,-,-,-,-,,-,-,-,-,-,-,.224,.224,.224,.224,.224,.224,.224,.224,.224,.224,.224,.223,.000
,1,2021,ARMY,3.518,.000,3.518,-,-,-,-,-,-,,-,-,-,-,-,-,.294,.294,.294,.294,.294,.294,.294,.294,.294,.294,.294,.284,.000
,1,2021,FMS (‡),2.541,.000,2.541,-,-,-,-,-,-,,-,-,-,-,-,-,.212,.212,.212,.212,.212,.212,.212,.212,.212,.212,.212,.209,.000
,1,2021,Total,8.746,.000,8.746,-,-,-,-,-,-,,-,-,-,-,-,-,.730,.730,.730,.730,.730,.730,.730,.730,.730,.730,.730,.716,.000
,1,2022,AF (‡),1.175,.000,1.175,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.175
,1,2022,ARMY,.900,.000,.900,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.900
,1,2022,FMS (‡),.523,.000,.523,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.523
,1,2022,Total Base,2.598,.000,2.598,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.598
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
