"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,P-1 Line Item Number / Title: 1338C70000 / Hellfire Sys Summary,,,,,,,,,,,Item Number / Title [DODIC]: C70100 / LASER HELLFIRE MSL (BASIC/IHW/HFII),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,"76,861",,,,"4,581",,,,"3,518",,,900,,,-,,,900,,
Gross/Weapon System Cost ($ in Millions),,,,,,"4,630.438",,,,425.549,,,,327.490,,,118.800,,,-,,,118.800,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,"4,630.438",,,,425.549,,,,327.490,,,118.800,,,-,,,118.800,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,"4,630.438",,,,425.549,,,,327.490,,,118.800,,,-,,,118.800,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,60.244,,,,92.894,,,,93.090,,,132.000,,,-,,,132.000,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
All-up Rounds(†),46.413,"76,513","3,551.183",71.444,"5,112",,365.220,,76.461,,"3,518",268.990,,88.743,900,79.869,,-,-,,-,88.743,,900,79.869
Engineering Services,-,-,484.422,-,-,,31.806,,-,,-,29.387,,-,-,21.099,,-,-,,-,-,,-,21.099
Acceptance Testing,-,-,88.749,-,-,,2.086,,-,,-,1.499,,-,-,1.535,,-,-,,-,-,,-,1.535
Subtotal: Recurring Cost,-,-,"4,124.354",-,-,,399.112,,-,,-,299.876,,-,-,102.503,,-,-,,-,-,,-,102.503
Subtotal: Flyaway Cost,-,-,"4,124.354",-,-,,399.112,,-,,-,299.876,,-,-,102.503,,-,-,,-,-,,-,102.503
Support - Fielding Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Fielding,-,-,45.486,-,-,,4.982,,-,,-,5.141,,-,-,6.466,,-,-,,-,-,,-,6.466
Subtotal: Support - Fielding Cost,-,-,45.486,-,-,,4.982,,-,,-,5.141,,-,-,6.466,,-,-,,-,-,,-,6.466
Support - Production Engineering Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Production Engineering,-,-,208.806,-,-,,11.047,,-,,-,15.502,,-,-,4.390,,-,-,,-,-,,-,4.390
Subtotal: Support - Production Engineering Cost,-,-,208.806,-,-,,11.047,,-,,-,15.502,,-,-,4.390,,-,-,,-,-,,-,4.390
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,251.777,-,-,,10.406,,-,,-,6.971,,-,-,5.441,,-,-,,-,-,,-,5.441
Subtotal: Support - Program Management Cost,-,-,251.777,-,-,,10.406,,-,,-,6.971,,-,-,5.441,,-,-,,-,-,,-,5.441
Gross/Weapon System Cost,60.244,"76,861","4,630.438",92.894,"4,581",,425.549,,93.090,,"3,518",327.490,,132.000,900,118.800,,-,-,,-,132.000,,900,118.800
,,,,,,,,,,,,,,,,,,,,,,,,,
