"Exhibit P-10, Advance Procurement Requirements Analysis (page 2 - Budget Funding Justification): PB 2022 Army",,,,,,,Date: May 2021,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,P-1 Line Item Number / Title: 2104C59300 / TOW 2 System Summary,,,,,P-5 Number / Title: C59403 / TOW Family of Missiles,,
Cost Elements,QPA (Each),,FY 2022,,,,,,
,,,Production Leadtime (Months),Unit Cost ($ K),Contract Forecast Date,2022 Qty (Each),,For FY,Total Cost Request ($ M)
Other,,,,,,,,,
Warhead,1,,,,,,,,-
Launch Motor,1,,,,,,,,-
Flight Motor,1,,,,,,,,-
2B Sensor,1,,,,,,,,-
Gyro,1,,,,,,,,-
Flight Motor Case Kit,1,,,,,,,,-
Control Surface Actuator,1,,,,,,,,-
Beacon Shutter Actuator,1,,,,,,,,-
Total: Other,,,,,,,,,-
Total Advance Procurement/Obligation Authority,,,,,,,,,-
Description: FY22 Economic Order Quantity funding supports the TOW Contract.,,,,,,,,,
