"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 2104C59300 / TOW 2 System Summary,,,,,,,,,,,,Item Number / Title [DODIC]: C59403 / TOW Family of Missiles,,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2022,,,,,,,,,,,,,Fiscal Year 2023,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2021,BAL DUE AS OF 1 OCT,,,,Calendar Year 2022,,,,,,,,,,,,,Calendar Year 2023,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Missile Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 173632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2020,ARMY,"1,460",525,935,175,175,175,175,175,60,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,0
,1,2020,FMS (‡),"1,254",0,"1,254",-,-,-,-,-,-,,-,-,145,175,175,175,175,175,175,59,,,,,,,,,0
,1,2020,MC (‡),500,0,500,-,-,-,-,-,120,,175,175,30,-,-,-,-,-,-,-,,,,,,,,,0
,1,2020,Total,"3,214",525,"2,689",175,175,175,175,175,180,,175,175,175,175,175,175,175,175,175,59,-,-,-,-,-,-,-,-,0
,1,2021,ARMY,"1,231",0,"1,231",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,176,176,176,176,176,176,175,-,-,0
,1,2021,FMS (‡),427,0,427,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427
,1,2021,MC (‡),448,0,448,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176,175,97
,1,2021,Total,"2,106",0,"2,106",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,176,176,176,176,176,176,175,176,175,524
,1,2022,ARMY,887,0,887,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,887
,1,2022,FMS (‡),"1,278",0,"1,278",,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,278"
,1,2022,MC (‡),463,0,463,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,463
,1,2022,Total,"2,628",0,"2,628",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,628"
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
