"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 2104C59300 / TOW 2 System Summary,,,,,,,,,,,,Item Number / Title [DODIC]: C59403 / TOW Family of Missiles,,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2024,,,,,,,,,,,,,Fiscal Year 2025,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2023,BAL DUE AS OF 1 OCT,,,,Calendar Year 2024,,,,,,,,,,,,,Calendar Year 2025,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Missile Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 173632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2020,ARMY,"1,460","1,460",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,FMS (‡),"1,254","1,254",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,MC (‡),500,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,Total,"3,214","3,214",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2021,ARMY,"1,231","1,231",0,-,-,-,,,,,,,,,,,,,,,,,,,,,,,0
,1,2021,FMS (‡),427,0,427,77,175,175,,,,,,,,,,,,,,,,,,,,,,,0
,1,2021,MC (‡),448,351,97,97,-,-,,,,,,,,,,,,,,,,,,,,,,,0
,1,2021,Total,"2,106","1,582",524,174,175,175,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2022,ARMY,887,0,887,-,-,189,240,240,218,,-,-,-,-,-,-,-,-,,,,,,,,,,,0
,1,2022,FMS (‡),"1,278",0,"1,278",-,-,-,-,-,-,,-,-,215,215,215,213,210,210,,,,,,,,,,,0
,1,2022,MC (‡),463,0,463,-,-,-,-,-,-,,198,240,25,-,-,-,-,-,,,,,,,,,,,0
,1,2022,Total,"2,628",0,"2,628",-,-,189,240,240,218,,198,240,240,215,215,213,210,210,-,-,-,-,-,-,-,-,-,-,0
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
