"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,,,,,,P-1 Line Item Number / Title: 2605C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,,,,,,Item Number / Title [DODIC]: C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2020,,,,,,,,,,,,,Fiscal Year 2021,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2019,BAL DUE AS OF 1 OCT,,,,Calendar Year 2020,,,,,,,,,,,,,Calendar Year 2021,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
All Up Rounds (AUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,373,220,153,30,-,62,34,27,-,,-,-,-,-,-,-,,,,,,,,,,,,,0
,1,2017,NAVY (‡),104,0,104,-,-,-,-,-,-,,-,-,51,31,16,6,,,,,,,,,,,,,0
,1,2017,Total,477,220,257,30,-,62,34,27,-,,-,-,51,31,16,6,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2018,ARMY,899,0,899,-,-,-,-,-,50,,-,-,-,2,70,30,82,45,-,47,38,44,44,50,50,40,34,46,227
,1,2019,ARMY,721,0,721,,A -,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,721
,1,2019,NAVY (‡),75,0,75,,A -,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75
,1,2019,Total,796,0,796,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,796
,1,2020,AF (‡),43,0,43,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,43
,1,2020,ARMY,494,0,494,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,494
,1,2020,FMS (‡),1,0,1,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,1
,1,2020,NAVY (‡),320,0,320,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,320
,1,2020,Total,858,0,858,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,858
,1,2021,AF (‡),2,0,2,,,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,2
,1,2021,ARMY,537,0,537,,,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,537
,1,2021,NAVY (‡),161,0,161,,,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,161
,1,2021,Total,700,0,700,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,700
,1,2022,ARMY,386,0,386,,,,,,,,,,,,,,,,,,,,,,,,,,386
,1,2022,NAVY (‡),164,0,164,,,,,,,,,,,,,,,,,,,,,,,,,,164
,1,2022,Total,550,0,550,,,,,,,,,,,,,,,,,,,,,,,,,,550
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
