"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,,,,,,P-1 Line Item Number / Title: 2605C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,,,,,,Item Number / Title [DODIC]: C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2022,,,,,,,,,,,,,Fiscal Year 2023,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2021,BAL DUE AS OF 1 OCT,,,,Calendar Year 2022,,,,,,,,,,,,,Calendar Year 2023,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
All Up Rounds (AUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,373,373,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,NAVY (‡),104,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,Total,477,477,0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2018,ARMY,899,672,227,45,45,45,40,40,12,,44 44 44 43 44 69 69 68 94 94 65 6 6 6 7 6 6 6 7 6 6 6,,,,,,,,,,,,,,,,,,0
,1,2019,ARMY,721,0,721,-,-,-,-,-,43,,44,44,44,43,44,69,69,68,94,94,65,,,,,,,,0
,1,2019,NAVY (‡),75,0,75,-,-,-,-,-,7,,6,6,6,7,6,6,6,7,6,6,6,,,,,,,,0
,1,2019,Total,796,0,796,-,-,-,-,-,50,,50,50,50,50,50,75,75,75,100,100,71,-,-,-,-,-,-,-,0
,1,2020,AF (‡),43,0,43,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,0
,1,2020,ARMY,494,0,494,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,24,66,68,68,68,200
,1,2020,FMS (‡),1,0,1,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,1,2020,NAVY (‡),320,0,320,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,33,34,32,32,32,157
,1,2020,Total,858,0,858,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,358
,1,2021,AF (‡),2,0,2,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
,1,2021,ARMY,537,0,537,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,537
,1,2021,NAVY (‡),161,0,161,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161
,1,2021,Total,700,0,700,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700
,1,2022,ARMY,386,0,386,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386
,1,2022,NAVY (‡),164,0,164,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164
,1,2022,Total,550,0,550,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,550
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
