"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,,,,,,P-1 Line Item Number / Title: 2605C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,,,,,,Item Number / Title [DODIC]: C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2018,,,,,,,,,,,,,Fiscal Year 2019,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2017,BAL DUE AS OF 1 OCT,,,,Calendar Year 2018,,,,,,,,,,,,,Calendar Year 2019,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
All Up Rounds (AUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,373,0,373,,,,,,,,,,,,A -,-,-,-,13,19,-,96,-,-,6,27,29,30,153
,1,2017,NAVY (‡),104,0,104,,,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,104
,1,2017,Total,477,0,477,,,,,,,,,,,,-,-,-,-,13,19,-,96,-,-,6,27,29,30,257
,1,2018,ARMY,899,0,899,,,,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,899
,1,2019,ARMY,721,0,721,,,,,,,,,,,,,,,,,,,,,,,,,,721
,1,2019,NAVY (‡),75,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,75
,1,2019,Total,796,0,796,,,,,,,,,,,,,,,,,,,,,,,,,,796
,1,2020,AF (‡),43,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,43
,1,2020,ARMY,494,0,494,,,,,,,,,,,,,,,,,,,,,,,,,,494
,1,2020,FMS (‡),1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
,1,2020,NAVY (‡),320,0,320,,,,,,,,,,,,,,,,,,,,,,,,,,320
,1,2020,Total,858,0,858,,,,,,,,,,,,,,,,,,,,,,,,,,858
,1,2021,AF (‡),2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
,1,2021,ARMY,537,0,537,,,,,,,,,,,,,,,,,,,,,,,,,,537
,1,2021,NAVY (‡),161,0,161,,,,,,,,,,,,,,,,,,,,,,,,,,161
,1,2021,Total,700,0,700,,,,,,,,,,,,,,,,,,,,,,,,,,700
,1,2022,ARMY,386,0,386,,,,,,,,,,,,,,,,,,,,,,,,,,386
,1,2022,NAVY (‡),164,0,164,,,,,,,,,,,,,,,,,,,,,,,,,,164
,1,2022,Total,550,0,550,,,,,,,,,,,,,,,,,,,,,,,,,,550
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
