"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,P-1 Line Item Number / Title: 2605C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,,,,,,Item Number / Title [DODIC]: C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Initial Spares and Repair Parts,-,-,,-,-,-,1.926,,,-,-,1.221,,,-,-,,1.981,-,-,,-,-,,-,1.981
Subtotal: Support - Initial Spares and Repair Parts Cost,-,-,,-,-,-,1.926,,,-,-,1.221,,,-,-,,1.981,-,-,,-,-,,-,1.981
Support - Non-Recurring Support Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Facilitization,-,-,,19.459,-,-,20.273,,,-,-,-,,,-,-,,-,-,-,,-,-,,-,-
Subtotal: Support - Non- Recurring Support Cost,-,-,,19.459,-,-,20.273,,,-,-,-,,,-,-,,-,-,-,,-,-,,-,-
Support - Production Engineering Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Production Engineering,-,-,,32.684,-,-,11.277,,,-,-,19.916,,,-,-,,16.159,-,-,,-,-,,-,16.159
Subtotal: Support - Production Engineering Cost,-,-,,32.684,-,-,11.277,,,-,-,19.916,,,-,-,,16.159,-,-,,-,-,,-,16.159
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,,18.415,-,-,15.579,,,-,-,14.432,,,-,-,,14.123,-,-,,-,-,,-,14.123
Subtotal: Support - Program Management Cost,-,-,,18.415,-,-,15.579,,,-,-,14.432,,,-,-,,14.123,-,-,,-,-,,-,14.123
Support - System Test and Evaluation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Test and Evaluation Support,-,-,,3.915,-,-,7.085,,,-,-,17.286,,,-,-,,5.035,-,-,,-,-,,-,5.035
Subtotal: Support - System Test and Evaluation Cost,-,-,,3.915,-,-,7.085,,,-,-,17.286,,,-,-,,5.035,-,-,,-,-,,-,5.035
Gross/Weapon System Cost,283.796,"2,004",,568.727,186.781,"1,067",199.295,,,366.011,537,196.548,,,394.241,386,,152.177,-,-,,-,394.241,,386,152.177
"Remarks: Due to efficiencies obtained by concurrent resolution of JAGM and HELLFIRE obsolescence issues, reduction of HELLFIRE funding will increase unit cost of JAGM AUR.",,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,"1,067",,,,537,,,,386,,,,-,,,386,,
,,,Total Obligation Authority,,,,,,199.295,,,,196.548,,,,152.177,,,,-,,,152.177,,
Total: Secondary Distribution,,,Quantity,,,,,,"1,067",,,,537,,,,386,,,,-,,,386,,
,,,Total Obligation Authority,,,,,,199.295,,,,196.548,,,,152.177,,,,-,,,152.177,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
