"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,P-1 Line Item Number / Title: 2605C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,,,,,,Item Number / Title [DODIC]: C70302 / Joint Air-to-Ground MSLS (JAGM),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,"2,004",,,,"1,067",,,,537,,,386,,,-,,,386,,
Gross/Weapon System Cost ($ in Millions),,,,,,568.727,,,,199.295,,,,196.548,,,152.177,,,-,,,152.177,,
Less PY Advance Procurement ($ in Millions),,,,,,64.456,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,504.271,,,,199.295,,,,196.548,,,152.177,,,-,,,152.177,,
Plus CY Advance Procurement ($ in Millions),,,,,,64.456,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,568.727,,,,199.295,,,,196.548,,,152.177,,,-,,,152.177,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,283.796,,,,186.781,,,,366.011,,,394.241,,,-,,,394.241,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
All Up Rounds (AUR)(†),192.801,"1,993",384.252,212.043,494,,104.749,,211.778,,537,113.725,,242.821,386,93.729,,-,-,,-,242.821,,386,93.729
Engineering Services,-,-,36.647,-,-,,28.539,,-,,-,21.033,,-,-,14.471,,-,-,,-,-,,-,14.471
Guidance Section Long Lead Items,-,-,38.600,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Acceptance Testing,-,-,1.224,-,-,,1.915,,-,,-,1.967,,-,-,2.006,,-,-,,-,-,,-,2.006
Subtotal: Recurring Cost,-,-,460.723,-,-,,135.203,,-,,-,136.725,,-,-,110.206,,-,-,,-,-,,-,110.206
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
HELLFIRE Backend Long Lead Items,-,-,25.856,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Tooling and Test Equipment,-,-,6.785,-,-,,7.046,,-,,-,6.066,,-,-,4.412,,-,-,,-,-,,-,4.412
Subtotal: Non Recurring Cost,-,-,32.641,-,-,,7.046,,-,,-,6.066,,-,-,4.412,,-,-,,-,-,,-,4.412
Subtotal: Flyaway Cost,-,-,493.364,-,-,,142.249,,-,,-,142.791,,-,-,114.618,,-,-,,-,-,,-,114.618
Support - Fielding Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Fielding,-,-,0.890,-,-,,0.906,,-,,-,0.902,,-,-,0.261,,-,-,,-,-,,-,0.261
Subtotal: Support - Fielding Cost,-,-,0.890,-,-,,0.906,,-,,-,0.902,,-,-,0.261,,-,-,,-,-,,-,0.261
Support - Initial Spares and Repair Parts Cost,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
