"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,Date: May 2021,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 2690CE8710 / AVENGER MODS,,,,,Modification Number / Title: CE8710 / AVENGER MODS,,
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,,MDAP/MAIS Code:,,,,
Secondary Distribution,,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
Army,Quantity,,-,-,,-,,-,-
,Total Obligation Authority,,4.894,4.791,,3.823,,-,3.823
ANG,Quantity,,-,-,,-,,-,-
,Total Obligation Authority,,9.213,9.151,,7.404,,-,7.404
Total: Secondary Distribution,Quantity,,-,-,,-,,-,-
,Total Obligation Authority,,14.107,13.942,,11.227,,-,11.227
,,,,,,,,,
