"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 2690CE8710 / AVENGER MODS,,,,,Modification Number / Title: CE8710 / AVENGER MODS,
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Avenger Basic and Slew-to-Cue Systems,,Modification Type: Operational,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Procurement,,,,,,,,,
Modification Item 1 of 5: Prior Modifications,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Prior Year Modifications,466 / 67.153,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,466 / 67.153,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Prior Modifications,466 / 67.153,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 2 of 5: Vehicle Internal Communication (VIC-5),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Hardware,454 / 4.327,,- / -,- / -,,- / -,,- / -,- / -
Spares,- / 0.457,,- / -,- / -,,- / -,,- / -,- / -
Engineering Services,- / 0.172,,- / -,- / 0.163,,- / 0.110,,- / -,- / 0.110
Systems Engineering / Program Management,- / 2.711,,- / -,- / 0.241,,- / 0.230,,- / -,- / 0.230
Fielding,- / -,,- / -,- / 0.208,,- / 0.212,,- / -,- / 0.212
Subtotal: Recurring,454 / 7.667,,- / -,- / 0.612,,- / 0.552,,- / -,- / 0.552
B Kits,,,,,,,,,
Recurring,,,,,,,,,
Avenger to VIC 5 Cables,264 / 11.880,,- / -,- / -,,- / -,,- / -,- / -
Spares,- / 1.188,,- / -,- / -,,- / -,,- / -,- / -
Engineering Services,- / 0.739,,- / -,- / 0.446,,- / 0.302,,- / -,- / 0.302
Systems Engineering / Program Management,- / 1.753,,- / -,- / 0.662,,- / 0.631,,- / -,- / 0.631
Fielding,- / 0.100,,- / -,- / 0.572,,- / 0.583,,- / -,- / 0.583
Subtotal: Recurring,264 / 15.660,,- / -,- / 1.680,,- / 1.516,,- / -,- / 1.516
Subtotal: Vehicle Internal Communication (VIC-5),718 / 23.327,,- / -,- / 2.292,,- / 2.068,,- / -,- / 2.068
Modification Item 3 of 5: Mode 5/Identification Friend or Foe,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Equipment,301 / 44.603,,183 / 7.486,- / -,,- / -,,- / -,- / -
Spares,- / 4.459,,- / 0.749,- / -,,- / -,,- / -,- / -
,,,,,,,,,
