"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 2690CE8710 / AVENGER MODS,,,,,Modification Number / Title: CE8710 / AVENGER MODS,
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Avenger Basic and Slew-to-Cue Systems,,Modification Type: Operational,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Engineering Services,- / 2.376,,- / 0.542,- / 1.957,,- / 1.278,,- / -,- / 1.278
System Engineering / Program Management,- / 11.282,,- / 1.479,- / 2.903,,- / 2.669,,- / -,- / 2.669
Fielding,- / 0.020,,- / 0.015,- / 2.508,,- / 2.463,,- / -,- / 2.463
Subtotal: Recurring,301 / 62.740,,183 / 10.271,- / 7.368,,- / 6.410,,- / -,- / 6.410
Non-Recurring,,,,,,,,,
Non-Recurring Production,- / 10.197,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / 10.197,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Mode 5/Identification Friend or Foe,301 / 72.937,,183 / 10.271,- / 7.368,,- / 6.410,,- / -,- / 6.410
Modification Item 4 of 5: Avenger Fire Control Computer,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Hardware,170 / 21.545,,- / -,- / -,,- / -,,- / -,- / -
Spares,- / 2.155,,- / -,- / -,,- / -,,- / -,- / -
Engineering Services,- / 1.639,,- / -,- / 0.809,,- / 0.548,,- / -,- / 0.548
Systems Engineering / Program Management,- / 3.546,,- / -,- / 1.201,,- / 1.145,,- / -,- / 1.145
Fielding,- / 0.015,,- / -,- / 1.037,,- / 1.056,,- / -,- / 1.056
Subtotal: Recurring,170 / 28.900,,- / -,- / 3.047,,- / 2.749,,- / -,- / 2.749
Subtotal: Avenger Fire Control Computer,170 / 28.900,,- / -,- / 3.047,,- / 2.749,,- / -,- / 2.749
Modification Item 5 of 5: Obsolescence Mitigation Items,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Hardware,- / -,,37 / 3.836,169 / 0.606,,- / -,,- / -,- / -
Engineering Services,- / -,,- / -,- / 0.167,,- / -,,- / -,- / -
Systems Engineering / Program Management,- / -,,- / -,- / 0.248,,- / -,,- / -,- / -
Fielding,- / -,,- / -,- / 0.214,,- / -,,- / -,- / -
Subtotal: Recurring,- / -,,37 / 3.836,169 / 1.235,,- / -,,- / -,- / -
Subtotal: Obsolescence Mitigation Items,- / -,,37 / 3.836,169 / 1.235,,- / -,,- / -,- / -
"Subtotal: Procurement, All Modification Items","1,655 / 192.317",,220 / 14.107,169 / 13.942,,- / 11.227,,- / -,- / 11.227
Installation,,,,,,,,,
Subtotal: Installation,- / -,,- / -,- / -,,- / -,,- / -,- / -
,,,,,,,,,
