"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 6005C64400 / Guided MLRS Rocket (GMLRS),,,,,,,,,,,,Item Number / Title [DODIC]: C65404 / GUIDED MLRS ROCKET (GMLRS),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Subtotal: Support - Program Management Cost,-,-,,95.238,-,-,3.907,,,-,-,4.001,,,-,-,,4.081,-,-,,-,-,,-,4.081
Gross/Weapon System Cost,126.394,"42,238",,"5,338.646",144.300,"7,878","1,136.794",,,165.849,"5,502",912.501,,,158.924,"5,886",,935.428,-,-,,-,158.924,,"5,886",935.428
"Remarks: The Army fully transitioned to Insensitive Munitions Propulsion System Motors (IMPS) for all rockets in FY 2020. Procurement of tooling for Extended Range GMLRS and for manufacture of pods was previously scheduled for FY 2021, however, it has since become necessary to implement a Life Time Buy of Application-Specific Integrated Circuit (ASIC) chips in order to assure continuing supply of Guidance Sets. Due to this development, the Extended Range GMLRS tooling has been shifted into FY 2022. The cost to procure the ASIC chips is estimated to be $60M and will enable production to continue through FY 2026, at which time a replacement shall become available. FY 2022 is the first year that shall require the production of pods for the GMLRS program rather than making use of repurposed M26 pods that were freely available in past years. These factors, coupled with increased procurement of the more expensive AW variant to support the Army's TMR, lead to an overall unit cost growth. Costs for Engineering Change Proposals covers activities associated with resolving manufacturing-related changes that arise due to emerging statutory and regulatory requirements, planned and unplanned parts unavailability, supply chain disruptions, cost reduction initiatives, quality improvement, and studies and investigations. Some of the currently known issues that must be resolved include obsolescence of certain components within the safe arm fuze, proximity sensor, guidance set, and motor material.",,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,"7,878",,,,"5,502",,,,"5,886",,,,-,,,"5,886",,
,,,Total Obligation Authority,,,,,,"1,136.794",,,,912.501,,,,935.428,,,,-,,,935.428,,
Total: Secondary Distribution,,,Quantity,,,,,,"7,878",,,,"5,502",,,,"5,886",,,,-,,,"5,886",,
,,,Total Obligation Authority,,,,,,"1,136.794",,,,912.501,,,,935.428,,,,-,,,935.428,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
