"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,P-1 Line Item Number / Title: 6005C64400 / Guided MLRS Rocket (GMLRS),,,,,,,,,,,,,,Item Number / Title [DODIC]: C65406 / GMLRS Training Devices,,,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,,,,
Resource Summary,,,,,,,Prior Years,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Cost ($ in Millions),,,,,,,3.517,,,,,-,,,,,0.496,,,,0.489,,,,-,,,,0.489,,
Less PY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,,3.517,,,,,-,,,,,0.496,,,,0.489,,,,-,,,,0.489,,
Plus CY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Total Obligation Authority ($ in Millions),,,,,,,3.517,,,,,-,,,,,0.496,,,,0.489,,,,-,,,,0.489,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,,FY 2021,,,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,,FY 2022 Total,,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,,Total Cost ($ M),Unit Cost ($ K),,,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMLRS TRAINING DEVICES,-,-,,3.517,-,-,,-,,,-,,-,0.496,,,-,-,,0.489,,-,-,,,-,-,,,-,0.489
Subtotal: Recurring Cost,-,-,,3.517,-,-,,-,,,-,,-,0.496,,,-,-,,0.489,,-,-,,,-,-,,,-,0.489
Subtotal: Flyaway Cost,-,-,,3.517,-,-,,-,,,-,,-,0.496,,,-,-,,0.489,,-,-,,,-,-,,,-,0.489
Gross/Weapon System Cost,-,-,,3.517,-,-,,-,,,-,,-,0.496,,,-,-,,0.489,,-,-,,,-,-,,,-,0.489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,FY 2022 Total,,,
Army,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,-,,,,,0.496,,,,0.489,,,,,-,,,,0.489,,,
Total: Secondary Distribution,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,-,,,,,0.496,,,,0.489,,,,,-,,,,0.489,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
