"Exhibit P-5a, Procurement History and Planning: PB 2022 Army",,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,P-1 Line Item Number / Title: 6060C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,Item Number / Title [DODIC]: C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,
Cost Elements,O C O,FY,Contractor and Location,,Method/Type or Funding Vehicle,Location of PCO,Award Date,Date of First Delivery,Qty (Each),,Unit Cost ($ K),Specs Avail Now?,Date Revision Available,RFP Issue Date
Reduced Range Practice Rocket (LCRRPR)(†),,2017,"Lockheed Martin / Dallas, TX",,SS / FPIF,"AMCOM,RSA,AL",May 2017,Jul 2018,"1,362",,8.660,Y,,Feb 2016
Reduced Range Practice Rocket (LCRRPR)(†),,2017,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Mar 2018,Apr 2018,342,,5.850,Y,,
Reduced Range Practice Rocket (LCRRPR)(†),,2018,"Lockheed Martin / Dallas, TX",,SS / FPIF,"AMCOM,RSA,AL",Apr 2018,Aug 2019,"3,078",,8.770,Y,,Feb 2017
Reduced Range Practice Rocket (LCRRPR)(†),,2018,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Mar 2019,Apr 2019,342,,5.920,Y,,
Reduced Range Practice Rocket (LCRRPR)(†),,2019,"Lockheed Martin / Dallas, TX",,SS / FPIF,"AMCOM,RSA,AL",Mar 2019,Aug 2020,"1,542",,8.900,Y,,Feb 2018
Reduced Range Practice Rocket (LCRRPR)(†),,2019,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Feb 2019,Apr 2020,672,,6.040,Y,,
Reduced Range Practice Rocket (LCRRPR)(†),,2020,"Lockheed Martin / Dallas, TX",,SS / FPIF,"AMCOM,RSA,AL",Mar 2020,Aug 2021,"1,446",,9.080,Y,,Feb 2019
Reduced Range Practice Rocket (LCRRPR)(†),,2020,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Mar 2020,Apr 2021,"1,536",,6.160,Y,,
Reduced Range Practice Rocket (LCRRPR)(†),,2021,"Lockheed Martin / Dallas, TX",,SS / FPIF,"AMCOM, RSA, AL",Mar 2021,Aug 2022,"2,910",,9.260,Y,,Feb 2020
Reduced Range Practice Rocket (LCRRPR)(†),,2021,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Mar 2021,Apr 2022,342,,6.280,Y,,
Reduced Range Practice Rocket (LCRRPR)(†),,2022,"Lockheed Martin / Dallas, TX",,SS / IDIQ,"AMCOM, RSA, AL",Mar 2022,Aug 2023,"2,706",,0.000,Y,,Feb 2020
Reduced Range Practice Rocket (LCRRPR)(†),,2022,"Letterkenny Munitions Center / Chambersburg, PA",,MIPR,"LEMC, PA",Mar 2022,Apr 2023,342,,0.000,Y,,
"(†) indicates the presence of a P-21 Remarks: Lockheed Martin is currently the industry source that is both facilitized and qualified to produce the Low Cost Reduced Range Practice Rocket (LCRRPR). Letterkenny Munitions Center (LEMC) has been established as the organic source that is both facilitized and qualified to produce the LCRRPR. * SS (Sole Source) / FPIF (Fixed Price Incentive Firm) ** AMCOM (Aviation and Missile Command), RSA (Redstone Arsenal), AL",,,,,,,,,,,,,,
