"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6060C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,,,,,,Item Number / Title [DODIC]: C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2021,,,,,,,,,,,,,Fiscal Year 2022,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2020,BAL DUE AS OF 1 OCT,,,,Calendar Year 2021,,,,,,,,,,,,,Calendar Year 2022,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Reduced Range Practice Rocket (LCRRPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 42861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"1,362","1,362",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,Total,"2,010","2,010",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2017,ARMY,342,342,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,ARMY,"3,078","3,078",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,Total,"3,726","3,726",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2018,ARMY,342,342,0,129 129 129 128 128 128 128 128 128 129 54 54 54 54 54 54 54 54 - -,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,ARMY,"1,542",258,"1,284",129,129,129,128,128,128,,128,128,128,129,,,,,,,,,,,,,,,0
,1,2019,MC (‡),648,216,432,54,54,54,54,54,54,,54,54,-,-,,,,,,,,,,,,,,,0
,1,2019,Total,"2,190",474,"1,716",183,183,183,182,182,182,,182,182,128,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2019,ARMY,672,336,336,56,56,56,56,56,56,,- - - - 120 121 121 121 121 121 121 120 120 120 120 120 - 54 54 54 54 54 54 54 54 54 54 54 54 - - -,,,,,,,,,,,,,,,,,,0
,1,2020,ARMY,"1,446",0,"1,446",-,-,-,-,-,-,,-,-,-,-,120,121,121,121,121,121,121,120,120,120,120,120,,,0
,1,2020,MC (‡),648,0,648,-,-,-,-,-,-,,-,54,54,54,54,54,54,54,54,54,54,54,54,-,-,-,,,0
,1,2020,Total,"2,094",0,"2,094",-,-,-,-,-,-,,-,54,54,54,174,175,175,175,175,175,175,174,174,120,120,120,-,-,0
,2,2020,ARMY,"1,536",0,"1,536",-,-,-,-,-,-,,128,128,128,128,128,128,128,128,128,128,128,128,,,,,,,0
,1,2021,ARMY,"2,910",0,"2,910",,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,246,"2,424"
,2,2021,ARMY,342,0,342,,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,30,30,24,30,30,30,168
,1,2022,ARMY,"2,706",0,"2,706",,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,"2,706"
,2,2022,ARMY,342,0,342,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,342
,2,2022,MC (‡),792,0,792,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,792
,2,2022,Total,"1,134",0,"1,134",,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,"1,134"
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
