"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 6060C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,,,,,Item Number / Title [DODIC]: C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,"50,199",,,,"2,982",,,,"3,330",,,"3,048",,,-,,,"3,048",,
Gross/Weapon System Cost ($ in Millions),,,,,,303.328,,,,27.555,,,,30.836,,,29.574,,,-,,,29.574,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,303.328,,,,27.555,,,,30.836,,,29.574,,,-,,,29.574,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,303.328,,,,27.555,,,,30.836,,,29.574,,,-,,,29.574,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,6.043,,,,9.240,,,,9.260,,,9.703,,,-,,,9.703,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Reduced Range Practice Rocket (LCRRPR)(†),4.659,"50,199",233.869,7.481,"2,982",,22.307,,7.737,,"3,252",25.162,,7.879,"3,048",24.015,,-,-,,-,7.879,,"3,048",24.015
Warheads Govt Furnished Equip (GFE),-,-,26.598,-,-,,2.638,,-,,-,2.947,,-,-,2.817,,-,-,,-,-,,-,2.817
Production Verification Testing,-,-,3.795,-,-,,0.077,,-,,-,0.079,,-,-,0.081,,-,-,,-,-,,-,0.081
First Destination Transportation,-,-,1.520,-,-,,0.200,,-,,-,0.221,,-,-,0.213,,-,-,,-,-,,-,0.213
Production Engineering Support,-,-,19.166,-,-,,1.731,,-,,-,1.811,,-,-,1.820,,-,-,,-,-,,-,1.820
Subtotal: Recurring Cost,-,-,284.948,-,-,,26.953,,-,,-,30.220,,-,-,28.946,,-,-,,-,-,,-,28.946
Subtotal: Flyaway Cost,-,-,284.948,-,-,,26.953,,-,,-,30.220,,-,-,28.946,,-,-,,-,-,,-,28.946
Support - Production Engineering Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Production Engineering,-,-,6.774,-,-,,0.510,,-,,-,0.522,,-,-,0.532,,-,-,,-,-,,-,0.532
Subtotal: Support - Production Engineering Cost,-,-,6.774,-,-,,0.510,,-,,-,0.522,,-,-,0.532,,-,-,,-,-,,-,0.532
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,11.607,-,-,,0.092,,-,,-,0.094,,-,-,0.096,,-,-,,-,-,,-,0.096
,,,,,,,,,,,,,,,,,,,,,,,,,
