"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6200C02901 / High Mobility Artillery Rocket System (HIMARS),,,,,,,,,,,,Item Number / Title [DODIC]: C03000 / HIMARS LAUNCHER,,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2023,,,,,,,,,,,,,Fiscal Year 2024,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2022,BAL DUE AS OF 1 OCT,,,,Calendar Year 2023,,,,,,,,,,,,,Calendar Year 2024,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2019,ARMY,17,17,0,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,FMS (‡),38,28,10,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,MC (‡),10,10,0,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,Total,65,55,10,2,2,4,2,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2021,ARMY,4,0,4,-,-,-,-,-,-,,-,-,-,4,-,-,-,-,-,-,-,-,-,-,,,,,0
,1,2021,FMS (‡),29,0,29,-,-,-,-,-,-,,-,-,-,-,-,2,4,4,1,3,4,4,4,3,,,,,0
,1,2021,MC (‡),5,0,5,-,-,-,-,-,-,,-,-,-,-,3,2,-,-,-,-,-,-,-,-,,,,,0
,1,2021,Total,38,0,38,-,-,-,-,-,-,,-,-,-,4,3,4,4,4,1,3,4,4,4,3,-,-,-,-,0
,1,2022,ARMY,19,0,19,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,3
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
