"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,P-1 Line Item Number / Title: 6200C02901 / High Mobility Artillery Rocket System (HIMARS),,,,,,,,,Item Number / Title [DODIC]: C03000 / HIMARS LAUNCHER,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M)
Subtotal: Support - Fielding Cost,-,-,75.528,-,-,-,,-,-,2.659,,-,-,5.729,-,-,-,-,-,5.729
Support - Operational/Site Activation Cost,,,,,,,,,,,,,,,,,,,,
"System Assembly, Installation and Checkout on Site",-,-,28.410,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Subtotal: Support - Operational/Site Activation Cost,-,-,28.410,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Support - Peculiar Support Equipment Cost,,,,,,,,,,,,,,,,,,,,
Support and Handling Equipment,-,-,39.307,-,-,-,,-,-,1.992,,-,-,2.826,-,-,-,-,-,2.826
Subtotal: Support - Peculiar Support Equipment Cost,-,-,39.307,-,-,-,,-,-,1.992,,-,-,2.826,-,-,-,-,-,2.826
Support - Production Engineering Cost,,,,,,,,,,,,,,,,,,,,
Production Engineering,-,-,114.656,-,-,-,,-,-,6.666,,-,-,10.131,-,-,-,-,-,10.131
Subtotal: Support - Production Engineering Cost,-,-,114.656,-,-,-,,-,-,6.666,,-,-,10.131,-,-,-,-,-,10.131
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,23.611,-,-,-,,-,-,3.238,,-,-,3.303,-,-,-,-,-,3.303
Subtotal: Support - Program Management Cost,-,-,23.611,-,-,-,,-,-,3.238,,-,-,3.303,-,-,-,-,-,3.303
Support - System Engineering Cost,,,,,,,,,,,,,,,,,,,,
System Engineering,-,-,130.846,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Subtotal: Support - System Engineering Cost,-,-,130.846,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Support - System Test and Evaluation Cost,,,,,,,,,,,,,,,,,,,,
Test and Evaluation Support,-,-,33.929,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Subtotal: Support - System Test and Evaluation Cost,-,-,33.929,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-
Support - Training Cost,,,,,,,,,,,,,,,,,,,,
Services,-,-,-,-,-,-,,-,-,-,,-,-,1.210,-,-,-,-,-,1.210
Subtotal: Support - Training Cost,-,-,-,-,-,-,,-,-,-,,-,-,1.210,-,-,-,-,-,1.210
Gross/Weapon System Cost,"4,883.933",416,"2,031.716",-,0,-,,"7,712.667",6,46.276,,"6,759.895",19,128.438,-,-,-,"6,759.895",19,128.438
,,,,,,,,,,,,,,,,,,,,
