"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 6200C02901 / High Mobility Artillery Rocket System (HIMARS),,,,,,,,,,,Item Number / Title [DODIC]: C03000 / HIMARS LAUNCHER,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,416,,,,0,,,,6,,,19,,,-,,,19,,
Gross/Weapon System Cost ($ in Millions),,,,,,"2,031.716",,,,-,,,,46.276,,,128.438,,,-,,,128.438,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,"2,031.716",,,,-,,,,46.276,,,128.438,,,-,,,128.438,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,"2,031.716",,,,-,,,,46.276,,,128.438,,,-,,,128.438,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,"4,883.933",,,,-,,,,"7,712.667",,,"6,759.895",,,-,,,"6,759.895",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Launcher(†),"3,142.197",416,"1,307.154",-,-,,-,,"5,430.250",,4,21.721,,"5,538.895",19,105.239,,-,-,,-,"5,538.895",,19,105.239
Carrier,"8,494.792",24,203.875,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Recurring Cost,-,-,"1,511.029",-,-,,-,,-,,-,21.721,,-,-,105.239,,-,-,,-,-,,-,105.239
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
European Deterrence Initiative Production Restart - Obsolescence Mitigation,-,-,74.400,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Non Recurring Cost,-,-,74.400,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Flyaway Cost,-,-,"1,585.429",-,-,,-,,-,,-,21.721,,-,-,105.239,,-,-,,-,-,,-,105.239
Vehicles Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
National Advanced Surface to Air Missile System (NASAMS),-,-,-,-,-,,-,,-,,-,10.000,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Non Recurring Cost,-,-,-,-,-,,-,,-,,-,10.000,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Vehicles Cost,-,-,-,-,-,,-,,-,,-,10.000,,-,-,-,,-,-,,-,-,,-,-
Support - Fielding Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Fielding,-,-,75.528,-,-,,-,,-,,-,2.659,,-,-,5.729,,-,-,,-,-,,-,5.729
,,,,,,,,,,,,,,,,,,,,,,,,,
