"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 6552C67500 / MLRS Mods,,,,,Modification Number / Title: C67500 / MLRS Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: M270A1,,Modification Type: .,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Procurement,,,,,,,,,
Modification Item 1 of 3: MLRS Fleet Expansion,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Obsolescence Mitigation (inactive),- / 468.710,,- / -,- / -,,- / -,,- / -,- / -
System Engineering Program Management,- / 31.265,,- / 16.244,- / 16.525,,- / 10.481,,- / -,- / 10.481
Transmissions and Engines,- / 18.413,,- / 25.526,- / 16.383,,- / 7.988,,- / -,- / 7.988
M270A2 Launcher Fleet Expansion,53 / 351.606,,41 / 271.493,40 / 249.978,,26 / 162.329,,- / -,26 / 162.329
Fielding,- / -,,- / -,- / -,,- / 8.822,,- / -,- / 8.822
Training,- / -,,- / -,- / -,,- / 4.057,,- / -,- / 4.057
Subtotal: Recurring,53 / 869.994,,41 / 313.263,40 / 282.886,,26 / 193.677,,- / -,26 / 193.677
Non-Recurring,,,,,,,,,
Obsolescence Mitigation Bradley Chassis,- / 38.822,,- / -,- / 7.871,,- / 6.645,,- / -,- / 6.645
Obsolescence Mitigation Fire Control Sys,- / 27.091,,- / -,- / -,,- / 1.296,,- / -,- / 1.296
Launcher Risk Reduction,- / 17.417,,- / -,- / -,,- / -,,- / -,- / -
Government Testing,- / 0.923,,- / 0.460,- / 2.627,,- / 0.865,,- / -,- / 0.865
Initial Spares,- / 7.059,,- / 14.470,- / 8.172,,- / -,,- / -,- / -
Training,- / 1.909,,- / -,- / 6.693,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / 93.221,,- / 14.930,- / 25.363,,- / 8.806,,- / -,- / 8.806
Subtotal: MLRS Fleet Expansion,53 / 963.215,,41 / 328.193,40 / 308.249,,26 / 202.483,,- / -,26 / 202.483
Modification Item 2 of 3: MLRS Fleet Upgrade,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
System Engineering Program Management,- / -,,- / -,- / -,,- / 5.448,,- / -,- / 5.448
Transmissions and Engines,- / -,,- / -,- / -,,- / 4.025,,- / -,- / 4.025
M270A2 Launcher Upgrade,- / -,,- / -,- / -,,4 / 25.221,,- / -,4 / 25.221
Fielding,- / -,,- / -,- / -,,- / 3.202,,- / -,- / 3.202
Training,- / -,,- / -,- / -,,- / 1.299,,- / -,- / 1.299
Subtotal: Recurring,- / -,,- / -,- / -,,4 / 39.195,,- / -,4 / 39.195
Non-Recurring,,,,,,,,,
Obsolescence Mitigation Bradley Chassis,- / -,,- / -,- / -,,- / 0.928,,- / -,- / 0.928
Obsolescence Mitigation Fire Control Sys,- / -,,- / -,- / -,,- / 0.199,,- / -,- / 0.199
Government Testing,- / -,,- / -,- / -,,- / 0.133,,- / -,- / 0.133
,,,,,,,,,
