"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 6552C67500 / MLRS Mods,,,,Modification Number / Title: C67500 / MLRS Mods
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 1 of 3: MLRS Fleet Expansion,,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Lockheed Martin Missiles & Fire Control,,,"Manufacturer Location: Camden, AR",,,
Administrative Leadtime (in Months): 3,,,Production Leadtime (in Months): 28,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Jun 2020,,Apr 2021,,,Apr 2022
Delivery Dates,Sep 2022,,Sep 2023,,,Aug 2024
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): Field Artillery Launchers Product Office,,,,,Installation Quantity: 0,
,,,,,,
