"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 6580C67501 / HIMARS Modifications,,,,,Modification Number / Title: C67501 / HIMARS Modifications,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: M142 High Mobility Artillery Rocket System,,"Modification Type: Operational, Reliability, Safety, Crew Survivability",,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Procurement,,,,,,,,,
Modification Item 1 of 1: M142 Mods,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Program Management,- / 2.618,,- / 1.353,- / 1.262,,- / 1.493,,- / -,- / 1.493
Obsolescence Mitigation,- / 232.205,,- / 5.930,- / 2.552,,- / 3.440,,- / -,- / 3.440
Industrial Facilities,- / 1.414,,- / 0.729,- / 0.356,,- / -,,- / -,- / -
Peculiar Support Equipment,- / 0.354,,- / 0.183,- / 0.089,,- / 0.105,,- / -,- / 0.105
Training,- / 1.336,,- / 0.689,- / 0.336,,- / 0.397,,- / -,- / 0.397
Test & Evaluation (Acceptance Testing),- / 2.424,,- / 1.249,- / 0.609,,- / 0.720,,- / -,- / 0.720
Systems Engineering,- / 4.899,,- / 2.350,- / 0.877,,- / 1.037,,- / -,- / 1.037
Subtotal: Recurring,- / 245.250,,- / 12.483,- / 6.081,,- / 7.192,,- / -,- / 7.192
Subtotal: M142 Mods,- / 245.250,,- / 12.483,- / 6.081,,- / 7.192,,- / -,- / 7.192
"Subtotal: Procurement, All Modification Items",- / 245.250,,- / 12.483,- / 6.081,,- / 7.192,,- / -,- / 7.192
Installation,,,,,,,,,
Subtotal: Installation,- / -,,- / -,- / -,,- / -,,- / -,- / -
Total,,,,,,,,,
Total Cost (Procurement + Support + Installation),245.250,,12.483,6.081,,7.192,,-,7.192
,,,,,,,,,
