"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 6580C67501 / HIMARS Modifications,,,,Modification Number / Title: C67501 / HIMARS Modifications
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 1 of 1: M142 Mods,,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Strategic and Operational Rocket & Missiles Project Office,,,"Manufacturer Location: Redstone Arsenal, AL",,,
Administrative Leadtime (in Months):,,,Production Leadtime (in Months):,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,,,,,,
Delivery Dates,,,,,,
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): Field Artillery Launchers Product Office,,,,,Installation Quantity: 0,
,,,,,,
