"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 6870C88001 / LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS),,,,,,,,,,,,Item Number / Title [DODIC]: C88022 / LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Gross/Weapon System Cost,82.073,"2,229",,182.941,113.647,425,48.300,,,-,-,-,,,75.864,900,,68.278,-,-,,-,75.864,,900,68.278
,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,425,,,,-,,,,900,,,,-,,,900,,
,,,Total Obligation Authority,,,,,,48.300,,,,-,,,,68.278,,,,-,,,68.278,,
Total: Secondary Distribution,,,Quantity,,,,,,425,,,,-,,,,900,,,,-,,,900,,
,,,Total Obligation Authority,,,,,,48.300,,,,-,,,,68.278,,,,-,,,68.278,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
