"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,P-1 Line Item Number / Title: 6870C88001 / LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS),,,,,,,,,,,Item Number / Title [DODIC]: C88022 / LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,"2,229",,,,425,,,,-,,,900,,,-,,,900,,
Gross/Weapon System Cost ($ in Millions),,,,,,182.941,,,,48.300,,,,-,,,68.278,,,-,,,68.278,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,182.941,,,,48.300,,,,-,,,68.278,,,-,,,68.278,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,182.941,,,,48.300,,,,-,,,68.278,,,-,,,68.278,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,82.073,,,,113.647,,,,-,,,75.864,,,-,,,75.864,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
All Up Rounds(†),52.050,"2,114",110.034,70.259,425,,29.860,,-,,-,-,,58.063,900,52.257,,-,-,,-,58.063,,900,52.257
Inert Training Missiles,47.427,520,24.662,44.458,190,,8.447,,-,,-,-,,40.636,195,7.924,,-,-,,-,40.636,,195,7.924
Training Simulators,25.291,79,1.998,25.000,38,,0.950,,-,,-,-,,26.620,50,1.331,,-,-,,-,26.620,,50,1.331
Multi-Pack Launcher,81.000,10,0.810,81.000,7,,0.567,,-,,-,-,,69.143,7,0.484,,-,-,,-,69.143,,7,0.484
Training Support Equipment,-,-,2.795,-,-,,1.514,,-,,-,-,,-,-,1.894,,-,-,,-,-,,-,1.894
Fielding,-,-,24.993,-,-,,3.358,,-,,-,-,,-,-,1.116,,-,-,,-,-,,-,1.116
Fire Control Units,24.769,91,2.254,25.316,38,,0.962,,-,,-,-,,23.760,50,1.188,,-,-,,-,23.760,,50,1.188
Subtotal: Recurring Cost,-,-,167.546,-,-,,45.658,,-,,-,-,,-,-,66.194,,-,-,,-,-,,-,66.194
Subtotal: Flyaway Cost,-,-,167.546,-,-,,45.658,,-,,-,-,,-,-,66.194,,-,-,,-,-,,-,66.194
Support - Acceptance Testing Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Acceptance Test,-,-,5.919,-,-,,0.799,,-,,-,-,,-,-,0.128,,-,-,,-,-,,-,0.128
Subtotal: Support - Acceptance Testing Cost,-,-,5.919,-,-,,0.799,,-,,-,-,,-,-,0.128,,-,-,,-,-,,-,0.128
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,9.476,-,-,,1.843,,-,,-,-,,-,-,1.956,,-,-,,-,-,,-,1.956
Subtotal: Support - Program Management Cost,-,-,9.476,-,-,,1.843,,-,,-,-,,-,-,1.956,,-,-,,-,-,,-,1.956
,,,,,,,,,,,,,,,,,,,,,,,,,
