"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8082C14300 / M-SHORAD - Procurement,,,,,,,,,,,,Item Number / Title [DODIC]: C14301 / Maneuver - Short Range Air Defense (M-SHORAD),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Initial Spares and Repair Parts,-,-,,-,-,-,-,,,-,-,25.300,,,-,-,,8.400,-,-,,-,-,,-,8.400
Subtotal: Support - Initial Spares and Repair Parts Cost,-,-,,-,-,-,-,,,-,-,25.300,,,-,-,,8.400,-,-,,-,-,,-,8.400
Support - Logistics Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Logistics Support,-,-,,-,-,-,-,,,-,-,3.500,,,-,-,,3.800,-,-,,-,-,,-,3.800
Subtotal: Support - Logistics Cost,-,-,,-,-,-,-,,,-,-,3.500,,,-,-,,3.800,-,-,,-,-,,-,3.800
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,,-,-,-,2.200,,,-,-,2.800,,,-,-,,2.200,-,-,,-,-,,-,2.200
Subtotal: Support - Program Management Cost,-,-,,-,-,-,2.200,,,-,-,2.800,,,-,-,,2.200,-,-,,-,-,,-,2.200
Gross/Weapon System Cost,-,-,,-,"8,332.143",28,233.300,,,"8,767.576",59,517.287,,,"8,961.486",37,,331.575,-,-,,-,"8,961.486",,37,331.575
Remarks: FY 2022 Base procurement funding in the amount of $331.575M procures 37 Systems.,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,28,,,,59,,,,37,,,,-,,,37,,
,,,Total Obligation Authority,,,,,,233.300,,,,517.287,,,,331.575,,,,-,,,331.575,,
Total: Secondary Distribution,,,Quantity,,,,,,28,,,,59,,,,37,,,,-,,,37,,
,,,Total Obligation Authority,,,,,,233.300,,,,517.287,,,,331.575,,,,-,,,331.575,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
