"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8082C14300 / M-SHORAD - Procurement,,,,,,,,,,,Item Number / Title [DODIC]: C14301 / Maneuver - Short Range Air Defense (M-SHORAD),,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,-,,,,28,,,,59,,,37,,,-,,,37,,
Gross/Weapon System Cost ($ in Millions),,,,,,-,,,,233.300,,,,517.287,,,331.575,,,-,,,331.575,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,-,,,,233.300,,,,517.287,,,331.575,,,-,,,331.575,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,-,,,,233.300,,,,517.287,,,331.575,,,-,,,331.575,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,-,,,,"8,332.143",,,,"8,767.576",,,"8,961.486",,,-,,,"8,961.486",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Initial M-SHORAD(†),-,-,-,"8,253.571",28,,231.100,,"7,879.441",,59,464.887,,"8,066.892",37,298.475,,-,-,,-,"8,066.892",,37,298.475
Subtotal: Recurring Cost,-,-,-,-,-,,231.100,,-,,-,464.887,,-,-,298.475,,-,-,,-,-,,-,298.475
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Sevices,-,-,-,-,-,,-,,-,,-,12.500,,-,-,5.700,,-,-,,-,-,,-,5.700
Subtotal: Non Recurring Cost,-,-,-,-,-,,-,,-,,-,12.500,,-,-,5.700,,-,-,,-,-,,-,5.700
Subtotal: Flyaway Cost,-,-,-,-,-,,231.100,,-,,-,477.387,,-,-,304.175,,-,-,,-,-,,-,304.175
Hardware Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
GFE HDW,-,-,-,-,-,,-,,-,,-,8.300,,-,-,4.900,,-,-,,-,-,,-,4.900
Subtotal: Recurring Cost,-,-,-,-,-,,-,,-,,-,8.300,,-,-,4.900,,-,-,,-,-,,-,4.900
Subtotal: Hardware Cost,-,-,-,-,-,,-,,-,,-,8.300,,-,-,4.900,,-,-,,-,-,,-,4.900
Package Fielding Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Fielding,-,-,-,-,-,,-,,-,,-,-,,-,-,8.100,,-,-,,-,-,,-,8.100
Subtotal: Recurring Cost,-,-,-,-,-,,-,,-,,-,-,,-,-,8.100,,-,-,,-,-,,-,8.100
Subtotal: Package Fielding Cost,-,-,-,-,-,,-,,-,,-,-,,-,-,8.100,,-,-,,-,-,,-,8.100
Support - Initial Spares and Repair Parts Cost,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
