"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8260C53101 / MSE Missile,,,,,,,,,,,,Item Number / Title [DODIC]: C53101 / MSE Missile,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Gross/Weapon System Cost,"4,086.866","1,278",,"5,223.015","4,502.801",156,702.437,,,"3,831.345",177,678.148,,,"4,314.978",180,,776.696,-,-,,-,"4,314.978",,180,776.696
"Remarks: Beginning FY21, funds from System Integration and Test Procurement / C50016 were realigned into MSE Missile / C53101.",,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,156,,,,177,,,,180,,,,-,,,180,,
,,,Total Obligation Authority,,,,,,702.437,,,,678.148,,,,776.696,,,,-,,,776.696,,
Total: Secondary Distribution,,,Quantity,,,,,,156,,,,177,,,,180,,,,-,,,180,,
,,,Total Obligation Authority,,,,,,702.437,,,,678.148,,,,776.696,,,,-,,,776.696,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
