"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8260C53101 / MSE Missile,,,,,,,,,,,Item Number / Title [DODIC]: C53101 / MSE Missile,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,"1,278",,,,156,,,,177,,,180,,,-,,,180,,
Gross/Weapon System Cost ($ in Millions),,,,,,"5,223.015",,,,702.437,,,,678.148,,,776.696,,,-,,,776.696,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,"5,223.015",,,,702.437,,,,678.148,,,776.696,,,-,,,776.696,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,"5,223.015",,,,702.437,,,,678.148,,,776.696,,,-,,,776.696,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,"4,086.866",,,,"4,502.801",,,,"3,831.345",,,"4,314.978",,,-,,,"4,314.978",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Hardware,"3,929.334","1,143","4,491.229","4,117.265",147,,605.238,,"3,813.760",,146,556.809,,"3,795.933",180,683.268,,-,-,,-,"3,795.933",,180,683.268
Field Surveillance,-,-,47.959,-,-,,5.949,,-,,-,18.732,,-,-,18.169,,-,-,,-,-,,-,18.169
PAC-3 Missile Support Center (P3MSC),-,-,26.264,-,-,,3.899,,-,,-,10.501,,-,-,10.356,,-,-,,-,-,,-,10.356
Obsolescence,-,-,106.774,-,-,,8.597,,-,,-,15.307,,-,-,21.007,,-,-,,-,-,,-,21.007
Launcher Mod Kit (LMK),"1,824.700",40,72.988,247.585,41,,10.151,,253.094,,32,8.099,,255.960,25,6.399,,-,-,,-,255.960,,25,6.399
Heater Kits,-,-,2.500,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Msl Round Trainer / Empty Round Trainer,-,-,166.138,-,-,,45.695,,-,,-,44.601,,-,-,14.599,,-,-,,-,-,,-,14.599
Initial Production Facilitization,-,-,88.313,-,-,,-,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Government/Software Engineering,-,-,41.140,-,-,,9.701,,-,,-,9.699,,-,-,9.299,,-,-,,-,-,,-,9.299
Sys Engrg/Proj Mgmt (SE/PM) Contractor,-,-,179.710,-,-,,13.207,,-,,-,13.401,,-,-,13.599,,-,-,,-,-,,-,13.599
Subtotal: Recurring Cost,-,-,"5,223.015",-,-,,702.437,,-,,-,677.149,,-,-,776.696,,-,-,,-,-,,-,776.696
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,-,-,-,-,-,,-,,-,,-,0.999,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Non Recurring Cost,-,-,-,-,-,,-,,-,,-,0.999,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Flyaway Cost,-,-,"5,223.015",-,-,,702.437,,-,,-,678.148,,-,-,776.696,,-,-,,-,-,,-,776.696
,,,,,,,,,,,,,,,,,,,,,,,,,
