"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8540C29600 / PRECISION STRIKE MISSILE (PRSM),,,,,,,,,,,,Item Number / Title [DODIC]: C29850 / PrSM Baseline,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Subtotal: Support - Initial Spares and Repair Parts Cost,-,-,,-,-,-,-,,,-,-,0.172,,,-,-,,0.572,-,-,,-,-,,-,0.572
Support - Program Management Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Management,-,-,,-,-,-,-,,,-,-,0.794,,,-,-,,2.641,-,-,,-,-,,-,2.641
Subtotal: Support - Program Management Cost,-,-,,-,-,-,-,,,-,-,0.794,,,-,-,,2.641,-,-,,-,-,,-,2.641
Support - Training Cost,,,,,,,,,,,,,,,,,,,,,,,,,,
Services,-,-,,-,-,-,-,,,-,-,0.578,,,-,-,,1.924,-,-,,-,-,,-,1.924
Subtotal: Support - Training Cost,-,-,,-,-,-,-,,,-,-,0.578,,,-,-,,1.924,-,-,,-,-,,-,1.924
Gross/Weapon System Cost,-,-,,-,-,-,-,,,"1,664.700",30,49.941,,,"1,510.273",110,,166.130,-,-,,-,"1,510.273",,110,166.130
,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,FY 2022 Total,,
Army,,,Quantity,,,,,,-,,,,30,,,,110,,,,-,,,110,,
,,,Total Obligation Authority,,,,,,-,,,,49.941,,,,166.130,,,,-,,,166.130,,
Total: Secondary Distribution,,,Quantity,,,,,,-,,,,30,,,,110,,,,-,,,110,,
,,,Total Obligation Authority,,,,,,-,,,,49.941,,,,166.130,,,,-,,,166.130,,
(†) indicates the presence of a P-5a,,,,,,,,,,,,,,,,,,,,,,,,,,
