"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8540C29600 / PRECISION STRIKE MISSILE (PRSM),,,,,,,,,,,Item Number / Title [DODIC]: C29850 / PrSM Baseline,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,-,,,,-,,,,30,,,110,,,-,,,110,,
Gross/Weapon System Cost ($ in Millions),,,,,,-,,,,-,,,,49.941,,,166.130,,,-,,,166.130,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,-,,,,-,,,,49.941,,,166.130,,,-,,,166.130,,
Plus CY Advance Procurement ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,-,,,,-,,,,49.941,,,166.130,,,-,,,166.130,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,-,,,,-,,,,"1,664.700",,,"1,510.273",,,-,,,"1,510.273",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Flyaway Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Production(†),-,-,-,-,-,,-,,"1,457.567",,30,43.727,,"1,322.364",110,145.460,,-,-,,-,"1,322.364",,110,145.460
Engineering Changes,-,-,-,-,-,,-,,-,,-,1.898,,-,-,6.314,,-,-,,-,-,,-,6.314
Subtotal: Recurring Cost,-,-,-,-,-,,-,,-,,-,45.625,,-,-,151.774,,-,-,,-,-,,-,151.774
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Recurring Production,-,-,-,-,-,,-,,-,,-,1.651,,-,-,5.491,,-,-,,-,-,,-,5.491
Subtotal: Non Recurring Cost,-,-,-,-,-,,-,,-,,-,1.651,,-,-,5.491,,-,-,,-,-,,-,5.491
Subtotal: Flyaway Cost,-,-,-,-,-,,-,,-,,-,47.276,,-,-,157.265,,-,-,,-,-,,-,157.265
Support - Common Support Equipment Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Support and Handling Equipment,-,-,-,-,-,,-,,-,,-,0.651,,-,-,2.165,,-,-,,-,-,,-,2.165
Subtotal: Support - Common Support Equipment Cost,-,-,-,-,-,,-,,-,,-,0.651,,-,-,2.165,,-,-,,-,-,,-,2.165
Support - Data Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Publications,-,-,-,-,-,,-,,-,,-,0.470,,-,-,1.563,,-,-,,-,-,,-,1.563
Subtotal: Support - Data Cost,-,-,-,-,-,,-,,-,,-,0.470,,-,-,1.563,,-,-,,-,-,,-,1.563
Support - Initial Spares and Repair Parts Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares and Repair Parts,-,-,-,-,-,,-,,-,,-,0.172,,-,-,0.572,,-,-,,-,-,,-,0.572
,,,,,,,,,,,,,,,,,,,,,,,,,
