"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,,P-1 Line Item Number / Title: 7265C12000 / Lower Tier Air and Missile Defense (AMD) Sensor,,,,,,,,,,,,,,Item Number / Title [DODIC]: C12101 / Lower Tier Air and Missile Defense Sensor,,,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,,,,
Resource Summary,,,,,,,Prior Years,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Cost ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,35.473,,,,-,,,,35.473,,
Less PY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,35.473,,,,-,,,,35.473,,
Plus CY Advance Procurement ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Total Obligation Authority ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,35.473,,,,-,,,,35.473,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,,-,,,,,-,,,,,-,,,,-,,,,-,,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,,FY 2020,,,,,,FY 2021,,,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,,FY 2022 Total,,,,
,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,,Total Cost ($ M),Unit Cost ($ K),,,Qty (Each),Total Cost ($ M)
Hardware Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS (Interim Contractor Support),-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,6.573,,-,-,,,-,-,,,-,6.573
Subtotal: Recurring Cost,-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,6.573,,-,-,,,-,-,,,-,6.573
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPF (Initial Production Facilitization,-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,28.900,,-,-,,,-,-,,,-,28.900
Subtotal: Non Recurring Cost,-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,28.900,,-,-,,,-,-,,,-,28.900
Subtotal: Hardware Cost,-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,35.473,,-,-,,,-,-,,,-,35.473
Gross/Weapon System Cost,-,-,,-,-,-,,-,,,-,,-,-,,,-,-,,35.473,,-,-,,,-,-,,,-,35.473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Distribution,,,,,,,,,,FY 2020,,,,,FY 2021,,,,FY 2022 Base,,,,,FY 2022 OCO,,,,FY 2022 Total,,,
Army,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,-,,,,,-,,,,35.473,,,,,-,,,,35.473,,,
Total: Secondary Distribution,,,Quantity,,,,,,,-,,,,,-,,,,-,,,,,-,,,,-,,,
,,,Total Obligation Authority,,,,,,,-,,,,,-,,,,35.473,,,,,-,,,,35.473,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
